Ctidružice;48.9715;15.8606
Ctiměřice;50.3828;14.9969
Ctiněves;50.3797;14.3049
Ctětín;49.8299;15.8367
Cvikov;50.7694;14.6388
Cvrčovice;48.9949;16.4989
Cvrčovice;50.1772;14.1517
Církvice;49.9127;15.0126
Církvice;49.9527;15.3414
Císařov;49.4643;17.3469
Cítoliby;50.3345;13.8092
Cítov;50.3747;14.3981
Daleké Dušníky;49.7305;14.1822
Dalečín;49.5891;16.2668
Dalešice;49.1326;16.0856
Dalešice;50.6851;15.1875
Dalovice;50.2511;12.9028
Dalovice;50.4259;14.8714
Dambořice;49.0410;16.9231
Damnice;48.9104;16.3655
Damníkov;49.8739;16.5427
Darkovice;49.9402;18.2093
Daskabát;49.5866;17.4457
Dasnice;50.1484;12.5645
Dasný;49.0236;14.4032
Davle;49.8869;14.3897
Dačice;49.0890;15.4248
Daňkovice;49.6606;16.1462
Dašice;50.0323;15.9091
Deblín;49.3196;16.3360
Dehtáře;49.4912;15.2735
Desná;49.8170;16.2212
Desná;50.7800;15.3152
Dešenice;49.2634;13.2000
Dešná;48.9553;15.5286
Dešná;49.2649;17.8527
Dešov;48.9820;15.7128
Deštnice;50.2314;13.6121
Deštná;49.2693;14.9098
Deštná;49.6198;16.5595
Deštné v Orlických horách;50.3031;16.3548
Divec;50.2369;15.9213
Divišov;49.7949;14.8649
Diváky;48.9879;16.7816
Dlažkovice;50.4603;13.9707
Dlažov;49.3681;13.1751
Dlouhomilov;49.9021;17.0013
Dlouhopolsko;50.1746;15.3038
Dlouhoňovice;50.0704;16.4354
Dlouhá Brtnice;49.2370;15.6000
Dlouhá Lhota;49.3515;14.7919
Dlouhá Lhota;49.4325;16.5024
Dlouhá Lhota;49.7238;14.1211
Dlouhá Lhota;50.4271;15.0635
Dlouhá Loučka;49.7080;16.6149
Dlouhá Loučka;49.8301;17.1816
Dlouhá Stráň;49.9566;17.5089
Dlouhá Třebová;49.9431;16.4322
Dlouhá Ves;49.1901;13.5192
Dlouhá Ves;49.5764;15.6867
Dlouhé;49.5159;16.1153
Dlouhý Most;50.7098;15.0708
Dlouhý Újezd;49.7616;12.6060
Dnešice;49.6125;13.2531
Dobelice;49.0061;16.2652
Dobev;49.3100;14.0800
Dobkovice;50.7087;14.1787
Dobratice;49.6680;18.4910
Dobrkovice;49.0940;17.6716
Dobrná;50.7790;14.2976
Dobrochov;49.3887;17.1041
Dobrohošť;49.0822;15.4940
Dobromilice;49.3674;17.1455
Dobroměřice;50.3837;13.7906
Dobronice u Bechyně;49.3423;14.5059
Dobronín;49.4800;15.6431
Dobroslavice;49.8838;18.1502
Dobroutov;49.4599;15.7519
Dobrovice;50.3669;14.9171
Dobrovítov;49.7859;15.3175
Dobrovíz;50.1093;14.2225
Dobročkovice;49.1641;17.1072
Dobročovice;50.0588;14.6978
Dobruška;50.2932;16.1798
Dobrá Voda u Hořic;50.3487;15.6054
Dobrá Voda u Pacova;49.4061;15.0265
Dobrá Voda u Českých Budějovic;48.9684;14.5251
Dobrá Voda;49.3583;15.2726
Dobrá Voda;49.4001;16.0624
Dobrá;49.6801;18.4103
Dobré Pole;48.8421;16.5412
Dobré;50.2767;16.2864
Dobrčice;49.3998;17.4825
Dobršín;49.2632;13.5543
Dobřany;49.6598;13.3129
Dobřany;50.3261;16.2894
Dobřejovice;49.9804;14.5787
Dobřenice;50.1501;15.6349
Dobřeň;50.4820;14.5594
Dobřichov;50.0833;15.0454
Dobřichovice;49.9302;14.2816
Dobříkov;50.0115;16.1164
Dobřínsko;49.0603;16.2577
Dobřív;49.7225;13.6822
Dobříč;49.8901;13.4953
Dobříč;50.0182;14.2592
Dobříň;50.4399;14.3028
Dobříš;49.8159;14.1536
Dobšice;48.8557;16.0967
Dobšice;49.2144;14.4849
Dobšice;50.1386;15.2613
Dobšín;50.4889;15.1174
Dohalice;50.2860;15.7031
Doksany;50.4592;14.1683
Doksy;50.1204;14.0449
Doksy;50.5580;14.6550
Dolany nad Vltavou;50.2203;14.3288
Dolany;49.4481;13.2395
